date,mtgox,btc-e,bitstamp,btcchina
2013-11-04 04:55:00 +0800,1338.54,1258.28,1263.52,1305.63
2013-11-04 05:55:00 +0800,1342.37,1256.94,1252.13,1305.42
2013-11-04 06:55:00 +0800,1360.73,1249.96,1266.97,1314.22
2013-11-04 07:55:00 +0800,1369.22,1263.96,1272.59,1326.68
2013-11-04 08:55:00 +0800,1360.49,1266.28,1284.22,1318.97
2013-11-04 09:55:00 +0800,1363.56,1272.56,1290.11,1326.89
2013-11-04 10:55:00 +0800,1357.06,1265.76,1283.36,1327.04
2013-11-04 11:55:00 +0800,1351.47,1259.04,1272.06,1328.37
2013-11-04 12:55:00 +0800,1357.35,1269.17,1277.71,1328.65
2013-11-04 13:55:00 +0800,1353.71,1262.44,1278.65,1326.48
2013-11-04 14:55:00 +0800,1363.48,1260.74,1278.53,1330.58
2013-11-04 15:55:00 +0800,1357.88,1267.22,1283.05,1332.79
2013-11-04 16:55:00 +0800,1358.79,1264.08,1280.54,1332.7
2013-11-04 17:55:00 +0800,1356.48,1271.21,1290.19,1331.53
2013-11-04 18:55:00 +0800,1374.86,1265.9,1289.58,1347.04
2013-11-04 19:55:00 +0800,1377.72,1272.59,1307.52,1370.3
2013-11-04 20:55:00 +0800,1382.53,1285.91,1318.95,1371.54
2013-11-04 21:55:00 +0800,1376.76,1289.69,1320.19,1369.16
2013-11-04 22:55:00 +0800,1415.9,1308.96,1327.07,1386.99
2013-11-04 23:55:00 +0800,1417.32,1318.27,1354.28,1389.77
2013-11-05 00:55:00 +0800,1405.18,1302.06,1340.11,1379.13
2013-11-05 01:55:00 +0800,1418.85,1323.95,1357.51,1388.71
2013-11-05 02:55:00 +0800,1416.08,1321.69,1372.02,1396.91
2013-11-05 03:55:00 +0800,1422.16,1332.15,1376.14,1408.0
2013-11-05 04:55:00 +0800,1420.77,1331.24,1370.52,1411.05
2013-11-05 05:55:00 +0800,1422.48,1324.79,1365.27,1417.71
2013-11-05 06:55:00 +0800,1434.31,1332.21,1375.04,1425.61
2013-11-05 07:55:00 +0800,1442.36,1348.79,1378.49,1424.73
2013-11-05 08:55:00 +0800,1447.11,1355.27,1381.41,1443.13
2013-11-05 09:55:00 +0800,1456.2,1369.0,1397.7,1461.45
2013-11-05 10:55:00 +0800,1460.32,1369.62,1402.88,1462.1
2013-11-05 11:55:00 +0800,1447.06,1357.93,1392.35,1440.64
